message;image_path
Hola TuCan, esto es una prueba1 desde mi cuenta.;C:\Users\Usuario\Downloads\Pruebas_aut_tucan\prueba1.jpg
Hola TuCan, esto es una prueba;C:\Users\Usuario\Downloads\Pruebas_aut_tucan\prueba2.jpg
Hola TuCan;C:\Users\Usuario\Downloads\Pruebas_aut_tucan\prueba3.jpg
Esto es una prueba desde mi cuenta.;C:\Users\Usuario\Downloads\Pruebas_aut_tucan\prueba4.jpg
Hola TuCan, prueba5;C:\Users\Usuario\Downloads\Pruebas_aut_tucan\prueba5.jpg
Hola TuCan, esto es una prueba6 desde mi cuenta.;C:\Users\Usuario\Downloads\Pruebas_aut_tucan\prueba6.jpg
"Hola TuCan, esto es una prueba1 desde mi cuenta; prueba 6";C:\Users\Usuario\Downloads\Pruebas_aut_tucan\prueba7.jpg
Holaaaa TuCan;C:\Users\Usuario\Downloads\Pruebas_aut_tucan\prueba8.jpg
TuCan, prueba9;C:\Users\Usuario\Downloads\Pruebas_aut_tucan\prueba9.jpg
Hola TuCan, esto es una prueba10 desde mi cuenta;C:\Users\Usuario\Downloads\Pruebas_aut_tucan\prueba10.jpg
